1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,Cifar100,FedAvg,0,7.350317579786711,0.010461087420042644,0.49941497597816265,0.0218137051931012,0.06483690497936268,0.5
3,Cifar100,FedAvg,1,4.988577533586872,0.028851279317697227,0.5560024021676915,0.025007028475568974,0.10526938892323957,0.5
4,Cifar100,FedAvg,2,4.490885781766766,0.054304371002132194,0.6528758678027435,0.03774052587559208,0.09325799922722973,0.5
5,Cifar100,FedAvg,3,4.31961357651858,0.0625,0.7013063124968009,0.03787131430400063,0.06970784977608394,0.5
6,Cifar100,FedAvg,4,4.243021170665861,0.07416044776119403,0.7222697310477886,0.04957593917388093,0.06751478609836234,0.5
7,Cifar100,FedAvg,5,4.054418575825205,0.10047974413646056,0.7453523995710648,0.054523363625428894,0.06436457678463554,0.5
8,Cifar100,FedAvg,6,4.0571350945291345,0.0964818763326226,0.7629298957470982,0.06377755158220348,0.0587098486798439,0.5
9,Cifar100,FedAvg,7,3.9408502666800924,0.10787579957356076,0.7699822044015316,0.04966489324146852,0.05839884760055094,0.5
10,Cifar100,FedAvg,8,3.950202228563406,0.10321162046908315,0.7829044731561738,0.046859059738900886,0.040406035834180024,0.5
11,Cifar100,FedAvg,9,3.945375221688814,0.10401119402985075,0.779176020354972,0.041266809593268915,0.042322791146496355,0.5
12,Cifar100,FedAvg,10,3.7947934094145084,0.12066897654584222,0.789341933347194,0.04698149997581102,0.038318593495020335,0.5
13,Cifar100,FedAvg,11,3.852768357721878,0.12806503198294242,0.7835561192853615,0.04449872781608233,0.05629787731218396,0.5
14,Cifar100,FedAvg,12,3.8180297054926964,0.12653251599147122,0.7912109926807785,0.038126750825254845,0.04124976804733152,0.5
15,Cifar100,FedAvg,13,3.8902521979827895,0.12426705756929637,0.7874664036375316,0.0502532245212753,0.05620905246696292,0.5
16,Cifar100,FedAvg,14,3.7934857337389145,0.12959754797441364,0.795763003263622,0.06327713122297725,0.04109734620478327,0.5
17,Cifar100,FedAvg,15,3.71836088052998,0.13326226012793177,0.7987485913526754,0.04375775505735108,0.033801800253058116,0.5
18,Cifar100,FedAvg,16,3.675528089626046,0.1370602345415778,0.8031937603024526,0.05334261712189081,0.03155217053393527,0.5
19,Cifar100,FedAvg,17,3.675362157738945,0.13466151385927505,0.8005448082425798,0.044073157828772906,0.03457666847250313,0.5
20,Cifar100,FedAvg,18,3.718736971454293,0.1369269722814499,0.7992014227165705,0.03653823075928716,0.04532899819777576,0.5
21,Cifar100,FedAvg,19,3.7630642729867207,0.12400053304904052,0.8037628025037076,0.03757163794347398,0.03704525151460688,0.5
22,Cifar100,FedAvg,20,3.6305347092156732,0.14678837953091683,0.8095432666510487,0.048520139223918284,0.03559253030951591,0.5
23,Cifar100,FedAvg,21,3.669133173277626,0.14532249466950958,0.8025229966022775,0.03978384255291307,0.03744822513118822,0.5
24,Cifar100,FedAvg,22,3.6847669940267544,0.14578891257995735,0.8071519267575573,0.04667589162341669,0.03531736342557282,0.5
25,Cifar100,FedAvg,23,3.8224140218031764,0.1275319829424307,0.8036313037098114,0.038364695425717715,0.03404177385878587,0.5
26,Cifar100,FedAvg,24,3.6447687400891,0.14518923240938167,0.8100322395669409,0.04889558459350853,0.02949554313155375,0.5
27,Cifar100,FedAvg,25,3.6376466090023634,0.14812100213219617,0.8098377137150565,0.0571447781060296,0.025644251688204237,0.5
28,Cifar100,FedAvg,26,3.922609164868146,0.12253464818763327,0.8037671557961086,0.03988468895479072,0.03141079551769006,0.5
29,Cifar100,FedAvg,27,3.6969468069472065,0.14678837953091683,0.8091481271362229,0.045635268080735286,0.028726631117463614,0.5
30,Cifar100,FedAvg,28,3.722919191861599,0.14618869936034115,0.804750657849221,0.04807883024199664,0.03992241337522895,0.5
31,Cifar100,FedAvg,29,3.684284004983402,0.14778784648187634,0.8086046982996771,0.048126223726125655,0.0329735469568662,0.5
32,Cifar100,FedAvg,30,3.6514615721654646,0.15231876332622601,0.8087129370490351,0.054498806426243024,0.03019019514451236,0.5
33,Cifar100,FedAvg,31,3.609271883753786,0.1482542643923241,0.8136954791233401,0.033021824389117875,0.021196533836576718,0.5
34,Cifar100,FedAvg,32,3.64681424902647,0.14398987206823027,0.8051945427615224,0.035417608346238534,0.03470377516520314,0.5
35,Cifar100,FedAvg,33,3.614226404105619,0.14752132196162046,0.8101782462892786,0.03803698107876133,0.028897012759979843,0.5
36,Cifar100,FedAvg,34,3.6126521329858234,0.15285181236673773,0.808475655281944,0.03992723634448411,0.028269414463088297,0.5
37,Cifar100,FedAvg,35,3.687766953051525,0.15238539445628999,0.8090662826218866,0.04572574124296956,0.030920848935920436,0.5
38,Cifar100,FedAvg,36,3.6992493475820645,0.14712153518123666,0.8050692556192454,0.05183704595431136,0.038297712926946274,0.5
39,Cifar100,FedAvg,37,3.729767347195064,0.14872068230277186,0.8085979112989512,0.04445954567308176,0.032050462857068106,0.5
40,Cifar100,FedAvg,38,3.7343636026874045,0.14085820895522388,0.8087281309982172,0.05247353724179182,0.03294084726681596,0.5
41,Cifar100,FedAvg,39,3.685106416432867,0.14545575692963753,0.8054918670737855,0.04599240951800317,0.03421353273304658,0.5
42,Cifar100,FedAvg,40,3.8830130274923347,0.13292910447761194,0.806337561756421,0.040484378965415936,0.034593136125353655,0.5
43,Cifar100,FedAvg,41,3.7654852158449796,0.14752132196162046,0.8083515519791028,0.058073009088094436,0.03430243593005288,0.5
44,Cifar100,FedAvg,42,3.7090901985255513,0.1456556503198294,0.8091857820063917,0.03785121971241252,0.023669365917278595,0.5
45,Cifar100,FedAvg,43,3.6416407400757747,0.14405650319829424,0.8094396326254625,0.04031968045781221,0.028713015720908366,0.5
46,Cifar100,FedAvg,44,3.677201780893692,0.14732142857142858,0.8093739150226117,0.04298757112185033,0.028077338848721323,0.5
47,Cifar100,FedAvg,45,3.7649665917181245,0.14698827292110875,0.8064202528272654,0.04999044041864777,0.03561053019736678,0.5
48,Cifar100,FedAvg,46,3.6712329523858918,0.14652185501066098,0.8111374325400952,0.04613909130156066,0.023388093489084143,0.5
49,Cifar100,FedAvg,47,3.7312984192839003,0.14252398720682302,0.8082687634861796,0.03140220731317424,0.028440336556495884,0.5
50,Cifar100,FedAvg,48,3.6995517336384847,0.1417910447761194,0.8086861921642055,0.03832566480591046,0.02806733169801373,0.5
51,Cifar100,FedAvg,49,3.7088195456576623,0.1447228144989339,0.8096968456262402,0.05644054222525142,0.023666658176923337,0.5
52,Cifar100,FedAvg,50,3.7605639416866934,0.1513859275053305,0.8054559781148686,0.05141776717700687,0.03316881621376691,0.5
53,Cifar100,FedAvg,51,3.8105174050721233,0.14618869936034115,0.8053953384570866,0.043166964930822276,0.03436532803035487,0.5
54,Cifar100,FedAvg,52,3.712566977188195,0.1509861407249467,0.8088152882321423,0.05340523953919945,0.030793176005849406,0.5
55,Cifar100,FedAvg,53,3.78096999855554,0.13999200426439232,0.8080082421247301,0.03775479705233373,0.028542435136109705,0.5
56,Cifar100,FedAvg,54,3.788199007165186,0.14272388059701493,0.8069536404181211,0.0365543819992607,0.02754758692941665,0.5
57,Cifar100,FedAvg,55,3.778965100522417,0.13999200426439232,0.8045893013467023,0.033906857733213745,0.02702561558352738,0.5
58,Cifar100,FedAvg,56,3.8554367528553324,0.14332356076759062,0.8036062823842038,0.0490298156730457,0.03464701101660554,0.5
59,Cifar100,FedAvg,57,3.687747950760591,0.14712153518123666,0.810390943119311,0.03886320626411031,0.020645498218508637,0.5
60,Cifar100,FedAvg,58,3.77608560730654,0.14458955223880596,0.805964803371262,0.034643467746073,0.02612516111027294,0.5
61,Cifar100,FedAvg,59,3.966054210715358,0.13919243070362472,0.8030537140054367,0.05061132286551134,0.031013188342986213,0.5
62,Cifar100,FedAvg,60,3.8118981917767663,0.1404584221748401,0.805869531006863,0.028218436739377482,0.024833365338548994,0.5
63,Cifar100,FedAvg,61,3.8497628290322172,0.13939232409381663,0.8058110781726142,0.035431101369933965,0.026003835886366348,0.5
64,Cifar100,FedAvg,62,3.775738786835753,0.1467217484008529,0.8046726758274922,0.04221022192128171,0.024180112562512852,0.5
65,Cifar100,FedAvg,63,3.8563937182261347,0.15145255863539445,0.8037201207930176,0.045165637834932555,0.03801934288970506,0.5
66,Cifar100,FedAvg,64,3.8276385521018153,0.14965351812366737,0.8060770213452659,0.04239254413942871,0.0298839268289521,0.5
67,Cifar100,FedAvg,65,3.79806548677646,0.1417910447761194,0.8054061135684933,0.04603463031650049,0.02354632190956231,0.5
