1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedProx,0,4.615562544410243,0.00826226012793177,0.49925935941762684,0.006105447987905244,0.047671385134914035
3,Cifar100,FedProx,1,4.526779347330496,0.0367137526652452,0.6037032569862968,0.026271405631712392,0.10151586817186234
4,Cifar100,FedProx,2,4.3799033236872615,0.0570362473347548,0.6698731905461265,0.028439026616439576,0.09060988128505075
5,Cifar100,FedProx,3,4.252668408328709,0.06389925373134328,0.7102082148449913,0.03803140656343102,0.06415546879927031
6,Cifar100,FedProx,4,4.176572894481678,0.07102878464818764,0.7325011630844827,0.03162737300612222,0.06708028397395005
7,Cifar100,FedProx,5,4.07780107777858,0.0849546908315565,0.7508985897482818,0.04058139153492466,0.068767427744777
8,Cifar100,FedProx,6,4.0383433830460245,0.08968550106609809,0.761022759654158,0.05229895706746372,0.06263749156368498
9,Cifar100,FedProx,7,3.9848001696549793,0.09581556503198294,0.7716761465254084,0.04003589871719142,0.059773799566645816
10,Cifar100,FedProx,8,3.9352297068405693,0.0960820895522388,0.7848056935452689,0.0357555689334037,0.04251293441250754
11,Cifar100,FedProx,9,3.9080294245524967,0.10014658848614072,0.7872365174411065,0.03858263132772964,0.04821040982087685
12,Cifar100,FedProx,10,3.8529924197757697,0.10954157782515991,0.79737356017347,0.04266076612080771,0.04664011083885352
13,Cifar100,FedProx,11,3.797539901254101,0.11780383795309168,0.8050374857072893,0.04476797134158675,0.04555679353473421
14,Cifar100,FedProx,12,3.792729132520285,0.11820362473347548,0.8053539120101926,0.044266826463855,0.0437405067949776
15,Cifar100,FedProx,13,3.8204185159111805,0.11247334754797442,0.7993777928138374,0.04665876811769391,0.05556658271949547
16,Cifar100,FedProx,14,3.755777730437662,0.12333422174840085,0.8108940927671557,0.0537148208080741,0.046837585332980984
17,Cifar100,FedProx,15,3.7164996639517063,0.12666577825159914,0.8155552773356642,0.0508480331200914,0.03742465732471504
18,Cifar100,FedProx,16,3.6627938888862324,0.13446162046908317,0.8220373974096875,0.05473379673329472,0.03783808404237161
19,Cifar100,FedProx,17,3.687230478845612,0.12933102345415778,0.8166052352842398,0.05322718368029079,0.05079297115633339
20,Cifar100,FedProx,18,3.681263445514183,0.1300639658848614,0.8190585447100763,0.04502921083471772,0.04857829506085128
21,Cifar100,FedProx,19,3.692190156168964,0.1263326226012793,0.8182186143958279,0.04855064543837716,0.04855392723489241
22,Cifar100,FedProx,20,3.6308970912360485,0.13566098081023453,0.8253743102447253,0.04395853082919691,0.039722518876813155
23,Cifar100,FedProx,21,3.6211427627742725,0.14465618336886993,0.826737038612546,0.043825629679729056,0.03529512089153789
24,Cifar100,FedProx,22,3.6067588490653857,0.14738805970149255,0.8255905128672256,0.04863660973401421,0.044908978476030724
25,Cifar100,FedProx,23,3.6600125173119715,0.13639392324093816,0.8205798183505749,0.03971975408318832,0.0459735727520572
26,Cifar100,FedProx,24,3.616672720074166,0.14325692963752665,0.825571097004329,0.04822751789510486,0.04034153728283871
27,Cifar100,FedProx,25,3.5735726261866345,0.14792110874200426,0.830863966673778,0.0612833450184757,0.03501459819826748
28,Cifar100,FedProx,26,3.5753006242047296,0.14125799573560768,0.8323986594140248,0.036602094966452677,0.03360160104473661
29,Cifar100,FedProx,27,3.5394011038867332,0.15125266524520256,0.8360726305520185,0.041156815147953725,0.027636447736929276
30,Cifar100,FedProx,28,3.538899153582334,0.1509861407249467,0.8358472704923466,0.050317179442463535,0.0318225459596157
31,Cifar100,FedProx,29,3.5456956028408095,0.14772121535181237,0.8351383312372282,0.05383461145364369,0.03901178386051219
32,Cifar100,FedProx,30,3.496703000769372,0.16224680170575692,0.8392297373302131,0.05326945716568397,0.030734064108962646
33,Cifar100,FedProx,31,3.4885456373875643,0.1515858208955224,0.8417117451680278,0.04098542320662266,0.026889646245859194
34,Cifar100,FedProx,32,3.497578168261032,0.15031982942430705,0.8389697812878387,0.044101441018693704,0.03498736544476402
35,Cifar100,FedProx,33,3.471800516421972,0.16178038379530918,0.8410093382333249,0.04842831418442966,0.03574266099317478
36,Cifar100,FedProx,34,3.4583243091448708,0.16304637526652452,0.841863893584071,0.047151427308214616,0.027479266463722913
37,Cifar100,FedProx,35,3.481348969253054,0.15764925373134328,0.8399633060452576,0.04573068980105338,0.03124768118148982
38,Cifar100,FedProx,36,3.4685051929026054,0.15951492537313433,0.8395996817462933,0.05628897598702713,0.0378091064639323
39,Cifar100,FedProx,37,3.480292398762902,0.15884861407249468,0.8378146958607963,0.0491580429964955,0.04079776688139108
40,Cifar100,FedProx,38,3.46628707537573,0.1545175906183369,0.8409168953557258,0.058980697118969215,0.03919329382900415
41,Cifar100,FedProx,39,3.450194972400414,0.15724946695095948,0.8415793503499484,0.048872318064711075,0.03573069589892496
42,Cifar100,FedProx,40,3.5081702771718724,0.1417910447761194,0.8382690602188053,0.04909471904805904,0.039829680281471075
43,Cifar100,FedProx,41,3.448524063246633,0.15818230277185502,0.841691940981283,0.05592723864511122,0.04020602294462656
44,Cifar100,FedProx,42,3.4162773733179543,0.16078091684434967,0.846003486498115,0.04300694031327046,0.026453813331340947
45,Cifar100,FedProx,43,3.3900776848772245,0.16637793176972282,0.8476282841675495,0.04465994114615716,0.032267566875327676
46,Cifar100,FedProx,44,3.393033295400604,0.16717750533049042,0.8467090857596509,0.04951077914237171,0.03435232700985171
47,Cifar100,FedProx,45,3.381606132131394,0.16651119402985073,0.8470918465235834,0.052627936437636774,0.03798714107522509
48,Cifar100,FedProx,46,3.3841726082093646,0.16664445628997868,0.8470229073844879,0.05263931109433564,0.03610649798157255
49,Cifar100,FedProx,47,3.4154404643124434,0.16064765458422176,0.8444219194453452,0.04213801152375669,0.03220466883314312
50,Cifar100,FedProx,48,3.4077236514682343,0.16044776119402984,0.8456439430132557,0.042959100781714235,0.03196402566405312
51,Cifar100,FedProx,49,3.390856415473403,0.16224680170575692,0.8467788545175619,0.0643955258579435,0.034710139488775923
52,Cifar100,FedProx,50,3.3537485146465262,0.16824360341151387,0.8488305430100437,0.06336654723855994,0.036955084343465304
53,Cifar100,FedProx,51,3.360769630080227,0.17097547974413646,0.8485143854067365,0.05605324719344545,0.036102095414927704
54,Cifar100,FedProx,52,3.3250100077407425,0.17650586353944564,0.851183434777107,0.054318957246030225,0.034750176460823214
55,Cifar100,FedProx,53,3.358709007925759,0.16824360341151387,0.8483277301644045,0.04912373534878487,0.03805905041497369
56,Cifar100,FedProx,54,3.3605932175073945,0.16651119402985073,0.8486833506550343,0.04663170260228543,0.03245146781061042
57,Cifar100,FedProx,55,3.3392940078303814,0.16664445628997868,0.8515452366384906,0.040858656066407484,0.025895330424809
58,Cifar100,FedProx,56,3.3489316540285268,0.16797707889125799,0.8483425907917947,0.050818246620226985,0.03595168233812784
59,Cifar100,FedProx,57,3.299185297096185,0.17563965884861407,0.8542570753914889,0.04382218356313169,0.028908014660391602
60,Cifar100,FedProx,58,3.337245255517824,0.16784381663113007,0.8508056667389832,0.039385843505824095,0.027243731474801563
61,Cifar100,FedProx,59,3.3024725225727405,0.17370735607675905,0.8528404766349995,0.049490822402079304,0.027868522093697726
62,Cifar100,FedProx,60,3.2976234545488836,0.17084221748400852,0.8541526305334378,0.03142778372871335,0.023481399932264918
63,Cifar100,FedProx,61,3.307323369091674,0.1717084221748401,0.8529941060184386,0.039718753044724886,0.02815239214330371
64,Cifar100,FedProx,62,3.272918446826205,0.1761727078891258,0.8549265313951737,0.04429293765574668,0.023948910871593402
65,Cifar100,FedProx,63,3.281029695432565,0.179704157782516,0.8537172863701227,0.0496318442951392,0.03068630345996956
66,Cifar100,FedProx,64,3.279671114887807,0.17583955223880596,0.8535940482366079,0.05506291312526326,0.03121590910821291
67,Cifar100,FedProx,65,3.268951623094313,0.17643923240938167,0.8538573539177439,0.058638207373447625,0.03016609168147556
68,Cifar100,FedProx,66,3.267759444728544,0.16997601279317698,0.854870262352016,0.05011820645200886,0.02287102558589026
69,Cifar100,FedProx,67,3.290192487368781,0.1736407249466951,0.8519381688973486,0.05847241303984104,0.0352638699346183
70,Cifar100,FedProx,68,3.260848784532608,0.17563965884861407,0.8556690597511074,0.030183565984333086,0.02182889999958647
71,Cifar100,FedProx,69,3.2073593008265844,0.18403518123667378,0.859765691100166,0.03932723564790577,0.023783085014358742
72,Cifar100,FedProx,70,3.2457499428695473,0.1720415778251599,0.8571066674111165,0.03904788011714752,0.023822880721530278
73,Cifar100,FedProx,71,3.2467315718544865,0.18250266524520256,0.856021574744736,0.04757707408057565,0.02373056601510889
74,Cifar100,FedProx,72,3.2447524262405634,0.17983742004264391,0.8549343669163914,0.04844194520860373,0.032409359644745846
75,Cifar100,FedProx,73,3.2372233963504717,0.18043710021321963,0.8554916538727625,0.04944741902745158,0.031132568549323003
76,Cifar100,FedProx,74,3.2410943937898637,0.17817164179104478,0.8543595268305362,0.044902756584263806,0.032042071150016525
77,Cifar100,FedProx,75,3.235517758838309,0.17957089552238806,0.8551528954512012,0.05797839582014765,0.03188497686013587
78,Cifar100,FedProx,76,3.22757712398914,0.1761727078891258,0.8564622857697187,0.03876514850180271,0.027399810963403416
79,Cifar100,FedProx,77,3.2044861774266646,0.18196961620469082,0.8581994487364857,0.03879575107055153,0.026975370562638802
80,Cifar100,FedProx,78,3.192374942364631,0.18276918976545842,0.8584397091437305,0.05651400390948266,0.028370425012266144
81,Cifar100,FedProx,79,3.2009151976842554,0.18296908315565033,0.8572325118930739,0.058138876339267086,0.03054362303083233
82,Cifar100,FedProx,80,3.209278520316633,0.17683901918976547,0.8572576106825207,0.048692653450666104,0.02628691031598561
83,Cifar100,FedProx,81,3.2175702897016953,0.17643923240938167,0.8568230268856261,0.05366938488085167,0.027250266795779667
84,Cifar100,FedProx,82,3.1732447604557477,0.17830490405117272,0.8600811936922768,0.04228018597623576,0.023867737306970095
85,Cifar100,FedProx,83,3.190302995112926,0.1761727078891258,0.858571361595206,0.04197139042323401,0.02665724769498572
86,Cifar100,FedProx,84,3.1357217999385614,0.18716684434968017,0.8634096305776441,0.04491284676850608,0.01871240691125119
87,Cifar100,FedProx,85,3.150272661909856,0.18929904051172708,0.8605347201094462,0.04894424706611239,0.03004755185331889
88,Cifar100,FedProx,86,3.1457035814161256,0.18663379530916843,0.8614087739699016,0.03993229248479737,0.024187971585766403
89,Cifar100,FedProx,87,3.1628107428948367,0.18483475479744135,0.8601900081941852,0.034868381351461246,0.020788692288838576
90,Cifar100,FedProx,88,3.1260133922667377,0.1861673773987207,0.8626636629485509,0.05113521900540874,0.0250457140286999
91,Cifar100,FedProx,89,3.1395437690185664,0.19143123667377399,0.8597128144213356,0.05785792940904481,0.030059536125755865
92,Cifar100,FedProx,90,3.1494047264559395,0.18730010660980811,0.8587813696677844,0.058592259634998985,0.03313568486055486
93,Cifar100,FedProx,91,3.1279282944442284,0.1824360341151386,0.8613251102358561,0.04694448510278522,0.028524145439945
94,Cifar100,FedProx,92,3.156780054724168,0.18037046908315565,0.8601290497526886,0.043314759893173564,0.02051334414525249
95,Cifar100,FedProx,93,3.180154163344669,0.1781050106609808,0.8566115782798142,0.057946168381087855,0.034038511801446666
96,Cifar100,FedProx,94,3.1304430189563845,0.18556769722814498,0.8610318944558405,0.03824611995697457,0.024398049625067215
